1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
69	29.455704	1.809330	0.447747	0.141820	85.9
70	29.602390	2.171993	0.440739	0.142926	86.0
71	29.593070	2.397311	0.436495	0.134946	85.6
72	29.647469	2.379165	0.436833	0.128857	85.4
73	29.580633	2.555077	0.433571	0.155026	86.0
74	29.764539	2.536287	0.433917	0.118778	86.1
75	29.179465	2.531089	0.434013	0.146819	93.9
76	29.907115	2.604085	0.432671	0.119235	93.6
77	29.841191	2.651861	0.431797	0.129195	92.1
78	29.942490	2.711370	0.430713	0.142476	86.4
79	29.445463	2.722620	0.430509	0.140857	86.2
80	29.911808	2.948544	0.426448	0.124739	87.0
81	29.693162	3.002742	0.425485	0.165348	85.2
82	29.841368	3.455858	0.417601	0.141122	85.7
83	29.969818	3.507391	0.416723	0.145839	85.1
84	29.849194	4.169090	0.405767	0.130904	88.7
85	29.873958	4.405004	0.401999	0.120325	85.7
86	29.582476	4.410375	0.401915	0.130440	86.1
87	29.813929	4.581118	0.399232	0.131133	85.7
88	29.717891	4.629704	0.398475	0.140624	89.0
89	29.729245	4.975259	0.393174	0.136092	87.6
90	29.694656	5.372181	0.387257	0.133614	88.1
91	30.050765	5.639133	0.383376	0.117311	84.6
92	29.494425	5.709601	0.382364	0.123265	87.0
93	29.496504	5.730630	0.382064	0.104615	86.2
94	29.555332	5.718178	0.382242	0.125347	85.2
95	29.870959	5.776699	0.381406	0.134261	86.3
96	30.313759	6.035155	0.377760	0.162492	85.9
97	29.844203	6.106971	0.376759	0.125370	88.0
98	29.959150	6.316883	0.373864	0.135542	86.9
99	30.057463	6.329627	0.373690	0.157960	86.5
100	29.589052	6.701430	0.368674	0.122763	91.1
101	29.475619	7.120026	0.363186	0.121246	88.1
102	29.516756	7.103811	0.363396	0.126260	88.1
103	29.810822	7.103092	0.363405	0.145234	88.0
104	29.904577	7.577495	0.357372	0.130866	93.0
105	29.606844	7.668045	0.356243	0.122543	89.6
106	29.760794	7.839032	0.354131	0.131636	91.7
107	29.587045	8.007547	0.352074	0.113794	166.5
108	30.008799	8.035193	0.351739	0.155977	174.2
109	29.737727	8.251490	0.349138	0.133514	91.6
110	29.663338	8.610598	0.344903	0.123062	100.0
111	29.771851	8.637136	0.344595	0.117020	97.6
112	29.751892	8.674170	0.344165	0.122117	96.7
113	29.489953	8.686949	0.344016	0.136313	97.1
114	29.679107	8.700490	0.343860	0.123809	93.4
115	29.493842	8.789014	0.342838	0.116053	88.2
116	29.832710	8.855441	0.342075	0.126438	87.5
117	30.036405	9.079944	0.339522	0.131625	87.0
118	29.711302	9.066525	0.339673	0.131365	86.9
119	29.673026	9.389986	0.336058	0.120556	85.6
120	29.527391	9.556361	0.334228	0.121167	90.2
121	30.076000	9.660035	0.333098	0.139324	86.5
122	29.976465	9.658942	0.333110	0.139601	85.8
123	29.725327	9.946785	0.330012	0.108992	86.0
124	29.674168	9.975826	0.329702	0.136226	86.9
125	29.754985	10.101956	0.328365	0.128152	86.2
126	29.838814	10.265964	0.326643	0.104026	85.4
127	29.900388	10.287853	0.326414	0.103488	86.2
128	29.651087	10.335002	0.325923	0.129619	85.6
129	29.635605	10.434659	0.324890	0.121631	84.9
130	29.590521	10.541573	0.323788	0.118978	85.1
